object_id;source_topology_id;java_area;julia_area;java_Ri_PAR_0_q;julia_Ri_PAR_0_q;java_Ri_PAR_q;julia_Ri_PAR_q;java_Ri_custom_0_q;julia_Ri_custom_0_q;java_Ri_custom_q;julia_Ri_custom_q;absdiff_Ri_PAR_q;reldiff_Ri_PAR_q
-1;2;0.00390625;0.00390625;59.85609929326785;59.85610223472488;60.186546909154686;60.18654986724003;59.85609929326784;59.85610223472488;60.18654690915467;60.18654986724003;2.9580853464494794e-6;4.914861374111395e-8
-1;3;0.00390625;0.00390625;69.77040272777315;69.7704067419373;69.77875835434844;69.7787623694851;69.77040272777313;69.7704067419373;69.77875835434843;69.7787623694851;4.015136653379159e-6;5.754095871109672e-8
-1;4;0.00390625;0.00390625;70.0446464007809;70.04465109188831;70.09583832692101;70.09584302130693;70.04464640078089;70.04465109188831;70.095838326921;70.09584302130693;4.6943859217662975e-6;6.697096480781187e-8
-1;5;0.00390625;0.00390625;70.0982216300187;70.09822500072282;70.15456781333982;70.15457118730198;70.0982216300187;70.09822500072282;70.15456781333981;70.15457118730198;3.3739621585482382e-6;4.8093264112542684e-8
-1;6;0.00390625;0.00390625;70.12500232953363;70.12500616782796;70.17228692268071;70.17229076430722;70.12500232953361;70.12500616782796;70.1722869226807;70.17229076430722;3.841626508460649e-6;5.474563644610219e-8
-1;7;0.00390625;0.00390625;69.578088826295;69.57809297972935;69.65817168493949;69.65817584459285;69.57808882629499;69.57809297972935;69.65817168493948;69.65817584459285;4.159653357760362e-6;5.971522446173683e-8
-1;8;0.00390625;0.00390625;68.5767646512146;68.57676932408881;68.68020806014621;68.68021274041598;68.57676465121459;68.57676932408881;68.6802080601462;68.68021274041598;4.680269768186918e-6;6.814582978677356e-8
-1;9;0.00390625;0.00390625;61.90469762493785;61.90470052787902;62.262553959047615;62.262556880685935;61.90469762493784;61.90470052787902;62.2625539590476;62.262556880685935;2.9216383197194773e-6;4.6924485648968834e-8
-1;10;0.00390625;0.00390625;66.01792699651202;66.0179306430562;66.21059206772945;66.21059572550782;66.01792699651202;66.0179306430562;66.21059206772945;66.21059572550782;3.6577783646407624e-6;5.5244610422741357e-8
-1;11;0.00390625;0.00390625;68.68323337843063;68.68323684295824;68.80126875975351;68.80127223336653;68.68323337843061;68.68323684295824;68.8012687597535;68.80127223336653;3.4736130203327775e-6;5.0487630285747395e-8
-1;12;0.00390625;0.00390625;69.89611266768736;69.89611705581962;69.91996330409874;69.91996769456037;69.89611266768736;69.89611705581962;69.91996330409874;69.91996769456037;4.390461626258002e-6;6.279267635142811e-8
