step_number;step_duration;item_id;component_id;group;type;area;Ri_PAR_0_q;Ri_PAR_q;Ri_custom_0_q;Ri_custom_q
0;1800.0;1;5;simple_plant;Internode;0.001329903956502676;8.221508002054781;9.723445712107365;8.22150800205478;9.723445712107363
0;1800.0;1;6;simple_plant;Leaf;0.0017557612154632807;28.37075588824734;30.99936598444745;28.37075588824734;30.99936598444745
0;1800.0;1;10;simple_plant;Internode;0.001929903868585825;13.369002520469765;16.069979426143743;13.369002520469763;16.069979426143743
0;1800.0;1;11;simple_plant;Leaf;0.0024570105597376823;40.83727225178242;44.38840852380362;40.83727225178242;44.38840852380361
0;1800.0;-1;2;pavement;Cobblestone;0.00390625;59.85609929326785;60.186546909154686;59.85609929326784;60.18654690915467
0;1800.0;-1;3;pavement;Cobblestone;0.00390625;69.77040272777315;69.77875835434844;69.77040272777313;69.77875835434843
0;1800.0;-1;4;pavement;Cobblestone;0.00390625;70.0446464007809;70.09583832692101;70.04464640078089;70.095838326921
0;1800.0;-1;5;pavement;Cobblestone;0.00390625;70.0982216300187;70.15456781333982;70.0982216300187;70.15456781333981
0;1800.0;-1;6;pavement;Cobblestone;0.00390625;70.12500232953363;70.17228692268071;70.12500232953361;70.1722869226807
0;1800.0;-1;7;pavement;Cobblestone;0.00390625;69.578088826295;69.65817168493949;69.57808882629499;69.65817168493948
0;1800.0;-1;8;pavement;Cobblestone;0.00390625;68.5767646512146;68.68020806014621;68.57676465121459;68.6802080601462
0;1800.0;-1;9;pavement;Cobblestone;0.00390625;61.90469762493785;62.262553959047615;61.90469762493784;62.2625539590476
0;1800.0;-1;10;pavement;Cobblestone;0.00390625;66.01792699651202;66.21059206772945;66.01792699651202;66.21059206772945
0;1800.0;-1;11;pavement;Cobblestone;0.00390625;68.68323337843063;68.80126875975351;68.68323337843061;68.8012687597535
0;1800.0;-1;12;pavement;Cobblestone;0.00390625;69.89611266768736;69.91996330409874;69.89611266768736;69.91996330409874
0;1800.0;-1;13;pavement;Cobblestone;0.00390625;69.08631256799053;69.25765776624976;69.08631256799053;69.25765776624976
0;1800.0;-1;14;pavement;Cobblestone;0.00390625;70.24786855150973;70.25500793477053;70.24786855150973;70.25500793477053
0;1800.0;-1;15;pavement;Cobblestone;0.00390625;69.75401464141402;69.81897458014546;69.754014641414;69.81897458014545
0;1800.0;-1;16;pavement;Cobblestone;0.00390625;70.12117359758196;70.1486445326625;70.12117359758194;70.14864453266249
0;1800.0;-1;17;pavement;Cobblestone;0.00390625;66.63692194161226;66.79542405503753;66.63692194161224;66.79542405503753
0;1800.0;-1;18;pavement;Cobblestone;0.00390625;69.50742590274871;69.58425014402867;69.5074259027487;69.58425014402866
0;1800.0;-1;19;pavement;Cobblestone;0.00390625;69.31419682035855;69.40180350364648;69.31419682035855;69.40180350364646
0;1800.0;-1;20;pavement;Cobblestone;0.00390625;70.31249586140987;70.31249586140987;70.31249586140986;70.31249586140986
0;1800.0;-1;21;pavement;Cobblestone;0.00390625;70.31250129793277;70.31250129793277;70.31250129793276;70.31250129793276
0;1800.0;-1;22;pavement;Cobblestone;0.00390625;70.01403519390333;70.06452115644468;70.01403519390333;70.06452115644468
0;1800.0;-1;23;pavement;Cobblestone;0.00390625;70.20535715270876;70.22304484975271;70.20535715270876;70.22304484975271
0;1800.0;-1;24;pavement;Cobblestone;0.00390625;69.78471500485237;69.82755130441718;69.78471500485236;69.82755130441717
0;1800.0;-1;25;pavement;Cobblestone;0.00390625;67.84950720525443;68.02305696796658;67.84950720525441;68.02305696796657
0;1800.0;-1;26;pavement;Cobblestone;0.00390625;70.28953614964605;70.29162505628987;70.28953614964604;70.29162505628986
0;1800.0;-1;27;pavement;Cobblestone;0.00390625;69.75000824170849;69.83586959833775;69.75000824170847;69.83586959833775
0;1800.0;-1;28;pavement;Cobblestone;0.00390625;70.09821435850837;70.11492561165896;70.09821435850836;70.11492561165896
0;1800.0;-1;29;pavement;Cobblestone;0.00390625;69.51291063799718;69.64060979252882;69.51291063799718;69.6406097925288
0;1800.0;-1;30;pavement;Cobblestone;0.00390625;69.89271866074394;70.0015666135597;69.89271866074394;70.00156661355969
0;1800.0;-1;31;pavement;Cobblestone;0.00390625;70.31249393490215;70.31249393490215;70.31249393490215;70.31249393490215
0;1800.0;-1;32;pavement;Cobblestone;0.00390625;69.7847131050712;69.83468878789681;69.7847131050712;69.83468878789681
0;1800.0;-1;33;pavement;Cobblestone;0.00390625;68.64117751984216;68.78841347864045;68.64117751984216;68.78841347864045
0;1800.0;-1;34;pavement;Cobblestone;0.00390625;70.05298654185286;70.0643037384013;70.05298654185285;70.0643037384013
0;1800.0;-1;35;pavement;Cobblestone;0.00390625;69.56251797765997;69.71471250975628;69.56251797765997;69.71471250975628
0;1800.0;-1;36;pavement;Cobblestone;0.00390625;70.12500420725979;70.13962655376656;70.12500420725979;70.13962655376655
0;1800.0;-1;37;pavement;Cobblestone;0.00390625;67.59658358845614;67.97031674328935;67.59658358845613;67.97031674328935
0;1800.0;-1;38;pavement;Cobblestone;0.00390625;70.31249945038003;70.31249945038003;70.31249945038003;70.31249945038003
0;1800.0;-1;39;pavement;Cobblestone;0.00390625;70.31249946637436;70.31249946637436;70.31249946637436;70.31249946637436
0;1800.0;-1;40;pavement;Cobblestone;0.00390625;70.31249907424213;70.31249907424213;70.31249907424213;70.31249907424213
0;1800.0;-1;41;pavement;Cobblestone;0.00390625;69.8726705040975;69.9083674204015;69.87267050409748;69.90836742040149
0;1800.0;-1;42;pavement;Cobblestone;0.00390625;66.49283144486907;66.70349572227903;66.49283144486907;66.70349572227903
0;1800.0;-1;43;pavement;Cobblestone;0.00390625;69.80358039623496;69.9179261862169;69.80358039623496;69.91792618621689
0;1800.0;-1;44;pavement;Cobblestone;0.00390625;69.84971932922485;69.89255562878967;69.84971932922484;69.89255562878967
0;1800.0;-1;45;pavement;Cobblestone;0.00390625;68.88181717005831;69.13691276053392;68.88181717005831;69.13691276053392
0;1800.0;-1;46;pavement;Cobblestone;0.00390625;69.99107627342572;70.04831717784523;69.99107627342572;70.04831717784523
0;1800.0;-1;47;pavement;Cobblestone;0.00390625;70.25892653855756;70.2631043518452;70.25892653855755;70.26310435184519
0;1800.0;-1;48;pavement;Cobblestone;0.00390625;69.43515205814498;69.47084897444898;69.43515205814496;69.47084897444897
0;1800.0;-1;49;pavement;Cobblestone;0.00390625;68.64397641435362;68.74009354670234;68.6439764143536;68.74009354670233
0;1800.0;-1;50;pavement;Cobblestone;0.00390625;66.71335925879158;66.81508181588927;66.71335925879158;66.81508181588927
0;1800.0;-1;51;pavement;Cobblestone;0.00390625;68.37887577985886;68.53936301936392;68.37887577985884;68.5393630193639
0;1800.0;-1;52;pavement;Cobblestone;0.00390625;69.07847099817857;69.16657608393717;69.07847099817856;69.16657608393716
0;1800.0;-1;53;pavement;Cobblestone;0.00390625;69.48017008148449;69.63723651322212;69.48017008148447;69.6372365132221
0;1800.0;-1;54;pavement;Cobblestone;0.00390625;70.04364130615447;70.08570872295398;70.04364130615447;70.08570872295398
0;1800.0;-1;55;pavement;Cobblestone;0.00390625;70.19770378464959;70.2086241883558;70.19770378464959;70.2086241883558
0;1800.0;-1;56;pavement;Cobblestone;0.00390625;69.32035940247981;69.36287798684725;69.32035940247981;69.36287798684725
0;1800.0;-1;57;pavement;Cobblestone;0.00390625;67.25921809257989;67.36379463206795;67.25921809257989;67.36379463206795
0;1800.0;-1;58;pavement;Cobblestone;0.00390625;65.63379181172411;65.76163606777698;65.63379181172411;65.76163606777698
0;1800.0;-1;59;pavement;Cobblestone;0.00390625;66.36151267231568;66.58355139424434;66.36151267231567;66.58355139424432
0;1800.0;-1;60;pavement;Cobblestone;0.00390625;69.80357767240297;69.91902404789028;69.80357767240297;69.91902404789028
